full_path,is_directory,name,id,Franchise Name,PRIMARYKEY,,,,,Date Last Mod,Size,Folder
C:\Users\mille\MinerU\1-800-GOT-JUNK_LLC_FDD_2024_ID636836.pdf-a48d2451-30cd-496f-b76e-a6344425fb7e\a7904961-af54-4dc3-bd37-8353707bfd00_content_list.json,FALSE,a7904961-af54-4dc3-bd37-8353707bfd00_content_list.json,636836,1-800-GOT-JUNK LLC,1,,,,,3/30/2025 16:45,816504,1-800-GOT-JUNK_LLC_FDD_2024_ID636836.pdf-a48d2451-30cd-496f-b76e-a6344425fb7e
C:\Users\mille\MinerU\101_Mobility_Franchise_Systems_LLC_FDD_2024_ID637227.pdf-167050c4-e06c-4bc7-a11b-5a047848b739\d132f306-5148-458b-b2e2-c90049e4b343_content_list.json,FALSE,d132f306-5148-458b-b2e2-c90049e4b343_content_list.json,637227,101 Mobility Franchise Systems LLC,2,,,,,3/30/2025 17:14,708557,101_Mobility_Franchise_Systems_LLC_FDD_2024_ID637227.pdf-167050c4-e06c-4bc7-a11b-5a047848b739
C:\Users\mille\MinerU\1073355_Ontario_Limited_FDD_2024_ID637208.pdf-2391cfc0-7c4b-41aa-94ce-82e754f1482e\98fef125-ad32-49a0-aa88-8594629ed018_content_list.json,FALSE,98fef125-ad32-49a0-aa88-8594629ed018_content_list.json,637208,1073355 Ontario Limited,3,,,,,3/30/2025 17:15,654611,1073355_Ontario_Limited_FDD_2024_ID637208.pdf-2391cfc0-7c4b-41aa-94ce-82e754f1482e
C:\Users\mille\MinerU\16_Handles_Franchising_LLC_FDD_2024_ID635830.pdf-033155dd-8238-47c5-877e-495069028670\39820709-6a02-4c1f-bd6e-960b9c7be59c_content_list.json,FALSE,39820709-6a02-4c1f-bd6e-960b9c7be59c_content_list.json,635830,16 Handles Franchising LLC,4,,,,,3/30/2025 17:14,796345,16_Handles_Franchising_LLC_FDD_2024_ID635830.pdf-033155dd-8238-47c5-877e-495069028670
C:\Users\mille\MinerU\1800Packouts_Franchise_LLC_FDD_2024_ID635990.pdf-23d4f4e5-bd54-41a3-8fcc-6c4e1aac3095\8d4b5785-cbbc-476e-ae69-74392d9522bb_content_list.json,FALSE,8d4b5785-cbbc-476e-ae69-74392d9522bb_content_list.json,635990,1800Packouts Franchise LLC,5,,,,,3/30/2025 17:18,673979,1800Packouts_Franchise_LLC_FDD_2024_ID635990.pdf-23d4f4e5-bd54-41a3-8fcc-6c4e1aac3095
C:\Users\mille\MinerU\1HCS_Franchising_LLC_FDD_2024_ID636856.pdf-d74c2d86-608d-46d4-a2ff-f12de83a1652\daa11f2b-4b2c-45e5-8df6-241028627c28_content_list.json,FALSE,daa11f2b-4b2c-45e5-8df6-241028627c28_content_list.json,636856,1HCS Franchising LLC,6,,,,,3/30/2025 17:13,693766,1HCS_Franchising_LLC_FDD_2024_ID636856.pdf-d74c2d86-608d-46d4-a2ff-f12de83a1652
C:\Users\mille\MinerU\1st_Class_Franchising_LLC_FDD_2024_ID.pdf-aae33f80-7c27-44b7-8906-695f93561c61\4e78c72f-a16f-4602-a225-579db1188a98_content_list.json,FALSE,4e78c72f-a16f-4602-a225-579db1188a98_content_list.json,,1st Class Franchising LLC,7,,,,,3/30/2025 17:10,365656,1st_Class_Franchising_LLC_FDD_2024_ID.pdf-aae33f80-7c27-44b7-8906-695f93561c61
C:\Users\mille\MinerU\1_Tom_Plumber_Global_Inc_FDD_2024_ID636010.pdf-563ddd1a-0cad-4a91-850a-a5250b51c84a\2dc9b9c7-54ff-4d4d-8dcf-f26b130e4821_content_list.json,FALSE,2dc9b9c7-54ff-4d4d-8dcf-f26b130e4821_content_list.json,636010,1 Tom Plumber Global Inc,8,,,,,3/30/2025 16:42,593909,1_Tom_Plumber_Global_Inc_FDD_2024_ID636010.pdf-563ddd1a-0cad-4a91-850a-a5250b51c84a
C:\Users\mille\MinerU\2nd_Family_Franchising_LLC_FDD_2024_ID636832.pdf-f3381dac-3175-4d13-b7f7-ee17c5422e0b\a22964ca-7d8b-4d9a-bc7d-d582e28db8d4_content_list.json,FALSE,a22964ca-7d8b-4d9a-bc7d-d582e28db8d4_content_list.json,636832,2nd Family Franchising LLC,9,,,,,3/30/2025 17:10,476297,2nd_Family_Franchising_LLC_FDD_2024_ID636832.pdf-f3381dac-3175-4d13-b7f7-ee17c5422e0b
C:\Users\mille\MinerU\30_Minute_Hit_USA_LLC_FDD_2024_ID636138.pdf-dc1a8e9b-54aa-46f8-a6a5-111db67fe4c1\8ca4288b-cecc-4a2c-8528-a40b61a612e6_content_list.json,FALSE,8ca4288b-cecc-4a2c-8528-a40b61a612e6_content_list.json,636138,30 Minute Hit USA LLC,10,,,,,3/30/2025 17:13,785293,30_Minute_Hit_USA_LLC_FDD_2024_ID636138.pdf-dc1a8e9b-54aa-46f8-a6a5-111db67fe4c1
