exhibit_id,fdd_id,identified_exhibit_letter,identified_title,start_page,end_page
1,522,G,LIST OF FRANCHISEES,6,6
2,522,H,LIST OF FRANCHISEES WHO HAVE LEFT THE SYSTEM,6,6
3,414,G,LIST OF CURRENT AND TERMINATED FRANCHISEES,237,238
4,237,E,Names and Addresses of Franchisees,191,193
5,293,D,Current Franchisees Contact Information,8,8
6,969,D,List of Franchisees Who Have Left the System,155,156
7,969,E,Financial Statements,157,176
8,969,F,Operations Manual Table of Contents,198,203
9,969,G,Multi-State Addendum,204,221
10,1253,E,LIST OF AREA REPRESENTATIVES,93,93
11,293,D,Current Franchisees Contact Information,306,325
12,420,A,FINANCIAL STATEMENTS,59,71
13,420,B,FRANCHISE AGREEMENT,76,144
14,420,C,LIST OF FRANCHISED LOCATIONS,161,166
15,420,D,LIST OF FORMER FRANCHISEES,167,167
16,420,E,LIST OF STATE ADMINISTRATORS,168,169
17,420,F,LIST OF AGENTS FOR SERVICE OF PROCESS,170,171
18,420,G,STATE SPECIFIC ADDENDA,172,177
19,420,H,MANUAL TABLE OF CONTENTS,178,180
20,420,I,GENERAL RELEASE,181,183
21,780,H,Current and Former Franchisees,107,107
22,258,A,LIST OF STATE AGENCIES/AGENTS FOR SERVICE OF PROCESS,54,54
23,258,B-1,VILLA PIZZA STANDARD FRANCHISE AGREEMENT,55,55
24,258,B-2,DEPOSIT AGREEMENT (FRANCHISE AGREEMENT),55,55
25,258,B-3,DEPOSIT AGREEMENT (AREA DEVELOPMENT AGREEMENT),55,55
26,258,B-4,AREA DEVELOPMENT AGREEMENT,55,55
27,258,C,SUBLEASE AGREEMENT,55,55
28,258,D,TABLE OF CONTENTS OF OPERATIONS & TRAINING MANUAL,55,55
29,258,E,LIST OF CURRENT FRANCHISEES,7,7
30,258,E-1,LIST OF CURRENT VILLA PIZZA AND VILLA FRESH ITALIAN KITCHEN FRANCHISEES,7,7
31,258,E-2,LIST OF CURRENT TONY $^+$ BENNY'S FRANCHISEES,7,7
32,258,F,LIST OF FORMER FRANCHISEES,7,7
33,258,F-1,LIST OF FORMER VILLA PIZZA AND VILLA FRESH ITALIAN KITCHEN FRANCHISEES,7,7
34,258,F-2,LIST OF FORMER TONY $^+$ BENNY'S FRANCHISEES,8,8
35,258,G,FINANCIAL STATEMENTS,8,8
36,258,H,REGISTRATION STATE DISCLOSURE ADDENDA,8,8
37,258,I,RIDER TO STATE FRANCHISE AGREEMENT AND AREA DEVELOPMENT AGREEMENT,8,8
38,258,J,GENERAL RELEASE (FORM),8,8
39,258,K,RECEIPTS,8,8
40,588,H,Current and Former Franchisees,118,120
41,530,F,List of Current Franchisees,191,195
42,1141,G,CURRENT DUNKINâ AND COMBO RESTAURANT FRANCHISEES,329,472
43,1141,H,FORMER DUNKINâ AND COMBO RESTAURANT FRANCHISEES,498,504
44,1141,A,LIST OF STATE AGENCIES AND AGENTS FOR SERVICE OF PROCESS,112,114
45,1141,B,FINANCIAL STATEMENTS AND GUARANTEE,115,170
46,1141,C-1,DUNKINâ FRANCHISE AGREEMENT,171,197
47,1141,C-2,COMBO FRANCHISE AGREEMENT,201,229
