section_id,fdd_id,identified_item_number,identified_header_text,start_page,end_page
1,522,1,"ITEM 1. The Franchisor, its Predecessors, and its Affiliates",7,9
2,522,2,ITEM 2. Business Experience,13,14
3,522,3,ITEM 3. Litigation,14,14
4,522,4,ITEM 4. Bankruptcy,14,14
5,522,5,ITEM 5. Initial Franchise Fee,14,14
6,476,9,ITEM 9. Franchisee's Obligations,21,21
7,476,10,ITEM 10. Financing,22,22
8,476,11,"ITEM 11. Franchisor's Assistance, Advertising, Computer Systems And Training",22,27
9,476,12,ITEM 12. Territory,28,29
10,476,13,ITEM 13. Trademarks,29,31
11,522,6,ITEM 6. Other Fees,15,19
12,522,7,ITEM 7. Initial Investment,20,24
13,522,8,ITEM 8. Restrictions On Sources Of Products And Services,24,28
14,522,9,ITEM 9. Franchisee's Obligations,28,29
15,522,10,ITEM 10. Financing,29,29
16,522,11,"ITEM 11. Franchisor's Assistance, Advertising, Computer Systems and Training",29,36
17,522,12,ITEM 12. Territory,37,38
18,522,13,ITEM 13. Trademarks,39,40
19,522,14,"ITEM 14. Patents, Copyrights and Proprietary Information",40,41
20,522,15,ITEM 15. Obligation To Participate In The Actual Operation Of The Franchise Business,41,41
21,522,16,ITEM 16. Restrictions On What The Franchisee May Sell,41,42
22,522,17,"ITEM 17. Renewal, Termination, Transfer And Dispute Resolution",42,49
23,522,18,ITEM 18. Public Figures,49,49
24,522,19,ITEM 19. Financial Performance Representations,50,54
25,522,20,ITEM 20. List Of Outlets,54,57
26,522,21,ITEM 21. Financial Statements,57,57
27,522,22,ITEM 22. Contracts,57,57
28,522,23,ITEM 23. Receipt,58,58
29,414,1,"ITEM 1. The Franchisor, its Predecessors, and its Affiliates",5,6
30,414,2,ITEM 2. Business Experience,6,8
31,414,3,ITEM 3. Litigation,8,8
32,414,4,ITEM 4. Bankruptcy,8,8
33,414,5,ITEM 5. Initial Franchise Fee,8,9
34,414,6,ITEM 6. Other Fees,9,11
35,414,7,ITEM 7. Estimated Initial Investment,11,15
36,414,8,ITEM 8. Restrictions On Sources Of Products And Services,15,17
37,414,9,ITEM 9. Franchisee's Obligations,17,18
38,414,10,ITEM 10. Financing,18,18
39,414,11,"ITEM 11. Franchisor's Assistance, Advertising, Computer Systems And Training",19,25
40,414,12,ITEM 12. Territory,25,26
41,414,13,ITEM 13. Trademarks,26,29
42,414,14,"ITEM 14. Patents, Copyrights and Proprietary Information",29,30
43,414,15,ITEM 15. Obligation To Participate In The Actual Operation Of The Franchise Business,30,30
44,414,16,ITEM 16. Restrictions On What The Franchisee May Sell,30,31
45,414,17,"ITEM 17. Renewal, Termination, Transfer And Dispute Resolution",31,39
46,414,18,ITEM 18. Public Figures,39,39
47,414,19,ITEM 19. Financial Performance Representations,40,40
48,414,20,ITEM 20. List Of Outlets,40,43
49,414,21,ITEM 21. Financial Statements,43,43
50,414,22,ITEM 22. Contracts,43,44
51,414,23,ITEM 23. Receipt,44,44
52,237,1,"ITEM 1. The Franchisor, its Predecessors, and its Affiliates",8,9
53,237,2,ITEM 2. Business Experience,10,11
54,237,3,ITEM 3. Litigation,11,11
55,237,4,ITEM 4. Bankruptcy,11,11
56,237,5,ITEM 5. Initial Franchise Fee,12,12
57,237,6,ITEM 6. Other Fees,12,16
58,237,7,ITEM 7. Initial Investment,18,21
59,237,8,ITEM 8. Restrictions On Sources Of Products And Services,21,25
60,237,9,ITEM 9. Franchisee's Obligations,25,26
61,237,10,ITEM 10. Financing,26,26
