email_address,source_document_path,source_document_filename,page_number,extraction_timestamp
nalolodgingdev@marriott.com,/Users/miller/projects/File_Util_App/processed_fdds/6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,1,2025-04-23T20:30:05.738133
gm@marriott.com,/Users/miller/projects/File_Util_App/processed_fdds/6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,54,2025-04-23T20:30:06.328548
nalolodgingdev@marriott.com,/Users/miller/projects/File_Util_App/processed_fdds/6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,113,2025-04-23T20:30:06.902556
nalolodgingdev@marriott.com,/Users/miller/projects/File_Util_App/processed_fdds/6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,116,2025-04-23T20:30:07.066187
privacy@marriott.com,/Users/miller/projects/File_Util_App/processed_fdds/6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,148,2025-04-23T20:30:07.450918
marriottdpo@marriott.com,/Users/miller/projects/File_Util_App/processed_fdds/6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,150,2025-04-23T20:30:07.501905
privacy@marriott.com,/Users/miller/projects/File_Util_App/processed_fdds/6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,154,2025-04-23T20:30:07.563656
marriottdpo@marriott.com,/Users/miller/projects/File_Util_App/processed_fdds/6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,156,2025-04-23T20:30:07.612706
ask.dfpi@dfpi.ca.gov,/Users/miller/projects/File_Util_App/processed_fdds/6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,284,2025-04-23T20:30:08.045179
ask.dfpi@dfpi.ca.gov,/Users/miller/projects/File_Util_App/processed_fdds/6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,287,2025-04-23T20:30:08.099289
rmas@marriott.com,/Users/miller/projects/File_Util_App/processed_fdds/6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,316,2025-04-23T20:30:08.246626
rmas@marriott.com,/Users/miller/projects/File_Util_App/processed_fdds/6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,324,2025-04-23T20:30:08.324548
rmas@marriott.com,/Users/miller/projects/File_Util_App/processed_fdds/6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,332,2025-04-23T20:30:08.387254
rmas@marriott.com,/Users/miller/projects/File_Util_App/processed_fdds/6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,340,2025-04-23T20:30:08.495674
rmas@marriott.com,/Users/miller/projects/File_Util_App/processed_fdds/6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,348,2025-04-23T20:30:08.562268
rmas@marriott.com,/Users/miller/projects/File_Util_App/processed_fdds/6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,356,2025-04-23T20:30:08.625994
aprc2@marriott.com,/Users/miller/projects/File_Util_App/processed_fdds/6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,395,2025-04-23T20:30:08.960164
aprc2@marriott.com,/Users/miller/projects/File_Util_App/processed_fdds/6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,403,2025-04-23T20:30:09.011786
aprc2@marriott.com,/Users/miller/projects/File_Util_App/processed_fdds/6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,410,2025-04-23T20:30:09.061164
aprc2@marriott.com,/Users/miller/projects/File_Util_App/processed_fdds/6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,6f460c1f-b473-46fc-bb88-350253103312_origin.pdf,417,2025-04-23T20:30:09.111103
