email_address,source_document_path,source_document_filename,page_number,extraction_timestamp
matthew.button@davies-group.com,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,1,2025-04-23T17:04:58.982400
walt.leddy@davies-group.com,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,1,2025-04-23T17:04:58.983913
ask.dfpi@dfpi.ca.gov,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,54,2025-04-23T17:04:59.161099
ask.dfpi@dfpi.ca.govcommissioner,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,54,2025-04-23T17:04:59.162323
9288559290lakehavasucity@frontieradjusters.com,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,124,2025-04-23T17:04:59.568965
anaheim@frontieradjusters.com,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,124,2025-04-23T17:04:59.570267
anchorage@frontieradjusters.com,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,124,2025-04-23T17:04:59.571123
bakersfield@frontieradjusters.com,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,124,2025-04-23T17:04:59.572310
banning@frontieradjusters.com,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,124,2025-04-23T17:04:59.573008
chandler@frontieradjusters.com,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,124,2025-04-23T17:04:59.573661
dothan@frontieradjusters.com,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,124,2025-04-23T17:04:59.574315
eldorado@frontieradjusters.com,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,124,2025-04-23T17:04:59.575194
fayettevillear@frontieradjusters.com,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,124,2025-04-23T17:04:59.576226
flagstaff@frontieradjusters.com,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,124,2025-04-23T17:04:59.576965
fortsmith@frontieradjusters.com,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,124,2025-04-23T17:04:59.577642
gadsden@frontieradjusters.com,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,124,2025-04-23T17:04:59.578452
hoover@frontieradjusters.com,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,124,2025-04-23T17:04:59.579262
huntsville@frontieradjusters.com,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,124,2025-04-23T17:04:59.580133
jonesboro@frontieradjusters.com,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,124,2025-04-23T17:04:59.580884
kingman@frontieradjusters.com,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,124,2025-04-23T17:04:59.581626
littlerock@frontieradjusters.com,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,124,2025-04-23T17:04:59.582285
mesa@frontieradjusters.com,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,124,2025-04-23T17:04:59.583137
mobile@frontieradjusters.com,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,124,2025-04-23T17:04:59.583769
montgomery@frontieradjusters.com,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,124,2025-04-23T17:04:59.584502
phoenix@frontieradjusters.com,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,124,2025-04-23T17:04:59.585452
prescott@frontieradjusters.com,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,124,2025-04-23T17:04:59.586316
quartzsite@frontieradjusters.com,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,124,2025-04-23T17:04:59.587126
scottsdale@frontieradjusters.com,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,124,2025-04-23T17:04:59.587891
sedona@frontieradjusters.com,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,124,2025-04-23T17:04:59.588541
showlow@frontieradjusters.com,/Users/miller/projects/File_Util_App/processed_fdds/ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,ee8bc441-5b98-4984-b132-4f0bfecd272a_origin.pdf,124,2025-04-23T17:04:59.589262
