email_address,source_document_path,source_document_filename,page_number,extraction_timestamp
franchisedevelopment@cardinalhealth.com,/Users/miller/projects/File_Util_App/processed_fdds/89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,1,2025-04-23T19:07:27.194974
managedcareonboarding@cardinalhealth.com,/Users/miller/projects/File_Util_App/processed_fdds/89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,121,2025-04-23T19:07:28.059914
privacy@cardinalhealth.com,/Users/miller/projects/File_Util_App/processed_fdds/89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,126,2025-04-23T19:07:28.134414
managedcaresupport@cardinalhealth.com,/Users/miller/projects/File_Util_App/processed_fdds/89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,146,2025-04-23T19:07:30.135766
privacy@cardinalhealth.com,/Users/miller/projects/File_Util_App/processed_fdds/89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,150,2025-04-23T19:07:30.778086
poctesting@cardinalhealth.com,/Users/miller/projects/File_Util_App/processed_fdds/89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,161,2025-04-23T19:07:31.033546
patientcaresolutions@cardinalhealth.com,/Users/miller/projects/File_Util_App/processed_fdds/89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,165,2025-04-23T19:07:31.154213
patientcaresolutions@cardinalhealth.com,/Users/miller/projects/File_Util_App/processed_fdds/89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,169,2025-04-23T19:07:31.289132
pmacommerce@cardinalhealth.com,/Users/miller/projects/File_Util_App/processed_fdds/89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,191,2025-04-23T19:07:34.879909
pmacommerce@cardinalhealth.com,/Users/miller/projects/File_Util_App/processed_fdds/89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,193,2025-04-23T19:07:35.572520
pharmacymarketingadvantage@cardinalhealth.com,/Users/miller/projects/File_Util_App/processed_fdds/89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,194,2025-04-23T19:07:35.654400
gmb-front-end@cardinalhealth.com,/Users/miller/projects/File_Util_App/processed_fdds/89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,196,2025-04-23T19:07:35.886241
gmb-front-end@cardinalhealth.com,/Users/miller/projects/File_Util_App/processed_fdds/89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,199,2025-04-23T19:07:35.969273
gmb-dubvitaminprogram@cardinalhealth.com,/Users/miller/projects/File_Util_App/processed_fdds/89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,204,2025-04-23T19:07:39.224732
krista.vandyke@cardinalhealth.com,/Users/miller/projects/File_Util_App/processed_fdds/89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,207,2025-04-23T19:07:39.557427
robert.conrad@cardinalhealth.com,/Users/miller/projects/File_Util_App/processed_fdds/89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,207,2025-04-23T19:07:39.558687
ask.dfpi@dfpi.ca.gov,/Users/miller/projects/File_Util_App/processed_fdds/89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,89fabefe-be04-4344-b98e-67331c5a2c1e_origin.pdf,284,2025-04-23T19:07:43.731699
